# Pick And Place List
# eMail=
#
# Project=HEad module_v2
# Date=03:14:00
# CreatedBy=Fritzing 1.0.6.2025-10-07.1.0.5rc1-97-g04e5bb02
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
LCD2,";;;;;;;;","",878.306,-685.818,0,Top,MANUAL
LCD1,";;;;;;;;","",-445.857,1151.69,90,Top,MANUAL
A1,";;;;;;;;","",1334.48,1630.33,180,Top,MANUAL
J7,";;;;;;;;","THT",334.978,1895.02,-90,Top,THT
J6,";;;;;;;;","THT",334.978,1995.02,-90,Top,THT
POWER,";;;;;;;;","THT",392.065,2495.77,180,Top,THT
I2c,";;;;;;;;","THT",2434.98,495.017,0,Top,THT
U1,";;;;;;;;","THT",2434.98,995.017,0,Top,THT
J4,";;;;;;;;","THT",2434.98,1495.02,-90,Top,THT
J5,";;;;;;;;","THT",2434.98,1595.02,-90,Top,THT
